ID,latitud,longitd,municip,localdd,predio,causa,ecos,tipo,inicio,termino,renuevo,arboreo,arbustv,herbace,total,copa,dur,tempord,temp_yr,difftim,radio,pendint,altitud,CLAVE,TIPO_C,usv,dst_hrt,dist_gr,dist_vs,dist_rb,Prec,Tmin,Tmax,Prec30d,est,porc_copa,ROS_ha_day,N_inc,Rec_prom,N_fires_prom,Rec_area,Fr_yr
1034-Vil-2002-05-07,19.29722222,-101.2875,Villa Madero,LOS GUAYABOS,LOS GUAYABOS,,,,07/05/2002,07/05/2002,0,0,10,20,30,NA,NA,lluvias,2002,1,309.02,42.44277191,1972,(A)C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,1944.454354,2355.490005,4690.467161,2114.412484,0,19,40,9,_16109,0,30,2,2,2,64,14
1035-Vil-2002-05-17,19.35388889,-101.2316667,Villa Madero,LA CUMBRE,C. LA CONQUISTA,,,,17/05/2002,17/05/2002,0,0,4,0,4,NA,NA,lluvias,2002,1,112.84,10,2023,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,2139.974674,2509.881811,2541.077631,2172.052114,0,20,40,11,_16109,0,4,1,1,1,4,NA
1036-Vil-2002-05-18,19.46944444,-101.1777778,Villa Madero,UCASIRO,UCASIRO,,,,18/05/2002,18/05/2002,2,0,1,0,3,NA,NA,lluvias,2002,1,97.72,27.51262283,1792,(A)C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg secundaria,3523.350877,960.7878871,5569.783038,2838.858985,0,19,41,11,_16109,0,3,1,1,1,3,NA
1037-Vil-2002-05-24,19.28694444,-101.3088889,Villa Madero,LOS GUAYABOS,EL CARGADERO,,,,24/05/2002,24/05/2002,7,0,8,0,15,NA,NA,lluvias,2002,1,218.51,17.5198307,1628,(A)C(w2)(w),Templado subhúmedo,Pastizal inducido pastizal cultivado,628.9967419,1441.2727,2447.800199,0,0,19,40,20,_16109,0,15,1,1,1,15,NA
1038-Vil-2003-02-24,19.365,-101.2916667,Villa Madero,MADERO,LOMA DE CAUCHO,,,,24/02/2003,24/02/2003,0,1,0,2,3,NA,NA,secas,2003,1,97.72,13.01708317,2342,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,789.1821459,790.7078801,2423.515027,2411.637969,0,8,27,0,_16109,33.33,3,1,1,1,3,NA
1039-Vil-2003-03-10,19.35027778,-101.2669444,Villa Madero,Ej. MADERO,EL CAMPAMENTO,,,,10/03/2003,10/03/2003,0,0,0,3,3,NA,NA,secas,2003,1,97.72,54.26273346,2388,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,1012.685148,1574.918931,2447.696448,3215.118486,0,11,30,0,_16109,0,3,1,1,1,3,NA
104-Ari-2005-05-08,19.22722222,-101.6083333,Ario de Rosales,la Cañada,La Joya de Las Bolitas,,,,08/05/2005,08/05/2005,1,0,3,0,4,NA,NA,lluvias,2005,1,112.84,7.453559875,2126,C(w2)(w),Templado subhúmedo,Cultivo perenne,0,0,425.235511,260.2278681,0,7.5,25,0,_16515,0,4,1,1,1,4,NA
1040-Vil-2003-03-25,19.40027778,-101.2669444,Villa Madero,Ej. PORUAS,CUESTA DE LAS NOVIAS,,,,25/03/2003,25/03/2003,0,0,0,3,3,NA,NA,secas,2003,1,97.72,30.93451881,2108,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,113.817668,64.82244744,1089.231546,939.4241586,0,8,28,0,_16109,0,3,1,1,1,3,NA
1041-Vil-2003-03-27,19.39638889,-101.3216667,Villa Madero,CIENEGUILLAS,EL PEDREGAL,,,,27/03/2003,27/03/2003,0.5,0,0,1.5,2,NA,NA,secas,2003,1,79.79,15.36590767,2293,C(w2)(w),Templado subhúmedo,Agricultura de temporal,34.49590234,14.99716636,1490.180368,1500.871165,0,NA,NA,0,16001,0,2,1,1,1,2,NA
1042-Vil-2003-04-02,19.37861111,-101.1786111,Villa Madero,PUERTO BLANCO,LAS CRUCES,,,,02/04/2003,02/04/2003,0,0,0,3,3,NA,NA,secas,2003,1,97.72,50,1592,(A)C(w1)(w),Templado subhúmedo,Bosque de encino/veg secundaria herbácea,2161.135648,695.1100338,4445.096216,2100.556267,0,10,31,0,_16109,0,3,1,1,1,3,NA
1043-Vil-2003-04-04,19.46694444,-101.0669444,Villa Madero,EL CAPULIN,EL CAPULIN,,,,04/04/2003,04/04/2003,0,0,0,2,2,NA,NA,secas,2003,1,79.79,77.50447845,2010,(A)C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,14075.61002,11789.63108,14049.20279,6122.76548,0,8,24,0,16114,0,2,1,1,1,2,NA
1044-Vil-2003-04-04,19.41583333,-101.0358333,Villa Madero,LA SOLEADITA,EL ARENAL,,,,04/04/2003,04/04/2003,10,8,0,0,18,NA,NA,secas,2003,1,239.37,43.33333206,2110,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg secundaria,17354.54209,11362.21928,13401.7918,642.1344624,0,11,31,0,16109,44.44,18,1,1,1,18,NA
1045-Vil-2003-04-26,19.32527778,-101.2269444,Villa Madero,LA CUMBRE,MESA DEL CABALLO,,,,26/04/2003,26/04/2003,0,0,2,2,4,NA,NA,secas,2003,1,112.84,14.90711975,1946,(A)C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,4902.955771,3913.250809,5280.796751,2569.935327,0,14,35,0,_16109,0,4,1,1,1,4,NA
1046-Vil-2003-04-28,19.47194444,-101.0894444,Villa Madero,MEL CAPULIN,LAS TABLITAS,,,,28/04/2003,28/04/2003,1,0,3,0,4,NA,NA,secas,2003,1,112.84,17.5198307,1988,(A)C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg secundaria,11656.8205,9674.257043,13285.96796,6479.31824,0,11,29,0,_16114,0,4,1,1,1,4,NA
1047-Vil-2003-05-02,19.28666667,-101.2263889,Villa Madero,EL MORENO,PUERTO PELILLO,,,,02/05/2003,02/05/2003,2,0,4,3,9,NA,NA,lluvias,2003,1,169.26,16.9967308,2107,(A)C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,8315.434207,6162.815353,9253.158927,6472.876044,0,12,32,0,_16109,0,9,2,2,2,39.05,10.9
1048-Vil-2003-05-03,19.34361111,-101.2225,Villa Madero,LA CUMBRE,CERRO DE LA BRUJULA,,,,03/05/2003,03/05/2003,0,0,5,0,5,NA,NA,lluvias,2003,1,126.16,31.8416214,1985,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,2831.385071,3367.649287,3995.354819,976.5116985,0,13,32,0,_16109,0,5,1,1,1,5,NA
1049-Vil-2003-05-04,19.28833333,-101.1933333,Villa Madero,Ej. ACATEN,EL CARGADERO,,,,04/05/2003,04/05/2003,1,0,3,0,4,NA,NA,lluvias,2003,1,112.84,26.87419319,1894,(A)C(w1)(w),Templado subhúmedo,Bosque de encino/veg secundaria herbácea,9296.65304,4575.726311,10615.7804,4534.160232,0,13,34,0,_16109,0,4,1,1,1,4,NA
105-Ari-2005-05-09,19.11611111,-101.6936111,Ario de Rosales,El Colorin,Ej. El Colorin,,,,09/05/2005,09/05/2005,5,3,22,0,30,NA,NA,lluvias,2005,1,309.02,26.87419319,1671,(A)C(w1)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,44.3852046,154.09471,168.1689003,3921.584191,0,8,27,0,_16515,10,30,2,9.5,9.5,513.37,2.4
1050-Vil-2003-05-06,19.40472222,-101.0247222,Villa Madero,LA SOLEADITA,LA CHARANDA,,,,06/05/2003,06/05/2003,0,0,1,1,2,NA,NA,lluvias,2003,1,79.79,33.93212128,2139,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,18309.9435,10771.37963,12140.61515,2085.772735,0,14,34,0,16109,0,2,1,1,1,2,NA
1051-Vil-2003-05-05,19.34055556,-101.2547222,Villa Madero,Ej. LA CUMBRE,EL PERDIDO,,,,05/05/2003,05/05/2003,15,10,15,10,50,NA,NA,lluvias,2003,1,398.94,19.61433792,2255,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,2634.250346,2881.829688,2937.420012,4150.075509,0,14,34,0,_16109,20,50,1,1,1,50,NA
1052-Vil-2003-05-06,19.39305556,-101.2894444,Villa Madero,MADERO,LA CIENEGA,,,,06/05/2003,06/05/2003,0,0,2,1,3,NA,NA,lluvias,2003,1,97.72,13.01708317,2225,C(w2)(w),Templado subhúmedo,Agricultura de temporal,0,0,153.3424296,0,0,14,34,0,_16109,0,3,1,1,1,3,NA
1053-Vil-2003-05-10,19.33611111,-101.2347222,Villa Madero,EL CARACOL,CASA QUEMADA,,,,10/05/2003,10/05/2003,1,0,3,1,5,NA,NA,lluvias,2003,1,126.16,12.13351631,2055,C(w2)(w),Templado subhúmedo,Bosque de encino/veg secundaria herbácea,3654.671817,3972.177106,3841.157817,2445.014739,0,13,32,0,_16109,0,5,5,5,5,6.6,1
1054-Vil-2003-05-13,19.36722222,-101.2527778,Villa Madero,CIENEGUILLAS,BARRANCA SECA,,,,13/05/2003,13/05/2003,0,0,1,1,2,NA,NA,lluvias,2003,1,79.79,15.72330189,1998,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,46.63608875,305.0238242,125.5283756,1300.748552,0,15,35,0,_16109,0,2,2,2,2,4,1
1055-Vil-2003-05-13,19.40416667,-101.2341667,Villa Madero,CIENEGUILLAS,EL CASTILLO,,,,13/05/2003,13/05/2003,6,0,0,0,6,NA,NA,lluvias,2003,1,138.2,7.546154499,1885,(A)C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg secundaria,2304.473751,1059.354965,1189.232648,2194.775443,0,15,35,0,_16109,0,6,2,2,2,8,13.9
1056-Vil-2003-05-15,19.38611111,-101.2611111,Villa Madero,CANCHO,SOROMUCAPIO,,,,15/05/2003,15/05/2003,2,1,2,0,5,NA,NA,lluvias,2003,1,126.16,16.87371445,2045,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg secundaria,15.29232304,225.6793707,477.7261848,598.1633414,0,14,32,0,_16109,20,5,2,2,2,3.5,1.1
1057-Vil-2003-05-16,19.34916667,-101.2347222,Villa Madero,EL CARACOL,EL PALMO CUATE,,,,16/05/2003,16/05/2003,2,2,2,0,6,NA,NA,lluvias,2003,1,138.2,6.666666508,2060,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,2519.187371,2701.701327,2646.342291,2298.488868,8,13,33,8,_16109,33.33,6,1,1,1,6,NA
1058-Vil-2003-05-17,19.41138889,-101.2288889,Villa Madero,LA PLANTA,OJO DE AGUA LOS COYOTES,,,,17/05/2003,17/05/2003,0,0,1,2,3,NA,NA,lluvias,2003,1,97.72,13.74368572,1646,(A)C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg secundaria,2938.764802,1055.056401,1578.342724,1271.415254,0,15,33,8,_16109,0,3,2,2,2,2.5,0
1059-Vil-2003-05-18,19.33638889,-101.235,Villa Madero,LA CUMBRE,BOCA DE LOS CABALLOS,,,,18/05/2003,18/05/2003,0,0,3,4,7,NA,NA,lluvias,2003,1,149.27,10,2058,C(w2)(w),Templado subhúmedo,Bosque de encino/veg secundaria herbácea,3613.42668,3932.490198,3800.554421,2460.035945,0,15,35,8,_16109,0,7,5,5,5,6.6,1
106-Ari-2005-05-09,19.09027778,-101.6505556,Ario de Rosales,Urapita,la Chuparrosa,,,,09/05/2005,09/05/2005,5,0,7,0,12,NA,NA,lluvias,2005,1,195.44,35.03966141,1978,(A)C(w2)(w),Templado subhúmedo,Cultivo perenne,0,786.734985,886.0415838,2934.184585,0,8,27,0,_16515,0,12,3,2.5,2.5,27.5,2.2
1060-Vil-2003-05-22,19.41138889,-101.2288889,Villa Madero,LA PLANTA,Co. DE AGUA DE COYOTES,,,,22/05/2003,22/05/2003,1,0,1,0,2,NA,NA,lluvias,2003,1,79.79,13.74368572,1646,(A)C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg secundaria,2938.764802,1055.056401,1578.342724,1271.415254,0,16,35,8,_16109,0,2,2,2,2,2.5,0
1061-Vil-2003-05-27,19.35527778,-101.2908333,Villa Madero,MADERO,Co. LA LEONA,,,,27/05/2003,27/05/2003,0,3,6,0,9,NA,NA,lluvias,2003,1,169.26,63.3004303,2598,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,1227.077257,1116.654649,3415.515693,3410.850393,0,14,33,68,_16109,33.33,9,1,1,1,9,NA
1062-Vil-2004-03-28,19.41888889,-101.0666667,Villa Madero,EL AGUACATE,LA SOLEADITA,,,,28/03/2004,28/03/2004,0,0,4,4,8,NA,NA,secas,2004,1,159.58,62.72736359,1838,(A)C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg secundaria,14288.13779,11649.68246,14928.24936,2412.151192,0,13,32,0,_16109,0,8,1,1,1,8,NA
1063-Vil-2004-03-29,19.4125,-101.2172222,Villa Madero,Ej. DE AGUA DE LOS COYOTES,CANCHO,,,,29/03/2004,29/03/2004,0,0,1,1,2,NA,NA,secas,2004,1,79.79,39.17552948,1667,(A)C(w2)(w),Templado subhúmedo,Agricultura de temporal,3448.250948,596.3844263,423.9124702,434.7776971,0,13,33,0,_16109,0,2,1,1,1,2,NA
1064-Vil-2004-04-09,19.38333333,-101.0172222,Villa Madero,AHIJADERO,JABALINES,,,,09/04/2004,09/04/2004,0,0,3,1,4,NA,NA,secas,2004,1,112.84,65.37286377,1970,C(w2)(w),Templado subhúmedo,Bosque de encino/veg secundaria herbácea,18964.21756,10713.0583,11002.79086,2851.844343,0,13,33,0,16109,0,4,1,1,1,4,NA
1065-Vil-2004-04-13,19.26666667,-101.1513889,Villa Madero,LOS SAUCES,MESA DEL PINO,,,,13/04/2004,13/04/2004,0.5,2,0,0,2.5,NA,NA,secas,2004,1,89.21,88.88975525,1367,Aw1(w),Cálido subhúmedo,Bosque Pino encino/veg secundaria,13321.67438,7726.680848,15263.40586,2559.523769,0,12,34,0,_16109,80,2.5,2,2,2,18.75,0
1066-Vil-2004-04-14,19.26666667,-101.1513889,Villa Madero,LOS SAUCES,MESA DEL PINO,,,,14/04/2004,14/04/2004,10,10,15,0,35,NA,NA,secas,2004,1,333.78,88.88975525,1367,Aw1(w),Cálido subhúmedo,Bosque Pino encino/veg secundaria,13321.67438,7726.680848,15263.40586,2559.523769,0,12,32,0,_16109,28.57,35,2,2,2,18.75,0
1067-Vil-2004-04-25,19.36666667,-101.1666667,Villa Madero,MADERO,EL BANCO,,,,25/04/2004,25/04/2004,0,4,0,2,6,NA,NA,secas,2004,1,138.2,100.7747726,1479,(A)C(w1)(w),Templado subhúmedo,Bosque de encino/veg secundaria herbácea,3853.610643,2423.530047,6249.08096,2598.51187,0,14,34,0,_16109,66.67,6,1,1,1,6,NA
